name,description
Ruler's Mask,"Mask in the image of a wizened sage. Customary dress among lords in a smaller nation. Increases faith. Such a mask illustrates the qualities of an ideal lord: chiefly, wise and possessing a certain defanged geniality. One at the center of society often finds these qualities most expedient."
Scaled Helm,"Helm worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks."
Shining Horned Headband,Headband decorated by a pair of shining horns. Worn by ancestral follower shamans.
Sanguine Noble Hood,"Hood of dyed black cloth featuring gold embroidery. Worn by the nobles who serve the Lord of Blood. Known to strike from pools of blood, these assassins are missionaries come to share the gospel of accursed blood. "
Sage Hood,A burgundy pointed hood. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town. 
Skeletal Mask,Skeletal mask that tightly grips the face. Worn by the assassin's of Ravensmount. 
Snow Witch Hat,"Witch's pointed hat, frigid and frozen through. Of a style associated with practitioners of heretical sorcery. Strengthens cold sorcery. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor. "
Spellblade's Pointed Hat,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills."
Traveling Maiden Hood,Hood worn by traveling maidens.
Silver Tear Mask,"Mask fashioned from the corpse of a formless Silver Tear, supported by its hardened, shed husk. Greatly increases arcane to the detriment of physical attack power. To imitate the imitator is a cunning play indeed."
Traveler's Hat,Hat of a traveling perfumer of no renown. 
Vulgar Militia Helm,"Helm worn by lean, mean, and filthy militiamen. The upward extension serves to create an appearance of larger size, however slightly."
Witch's Glintstone Crown,One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. 
Twinsage Glintstone Crown,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Greatly increases intelligence to the detriment of HP and stamina. Scholars of the Twinsage Conspectus were the elites of the academy, permitted to study and excel in sorceries of all kinds."
Veteran's Helm,"An old helm that has seen many battles.Worn by Niall, the great veteran general of Sol."
White Mask,"Bloodstained, faintly grinning mask. Worn by war surgeons who were effectively mercy killers. The Lord of Blood's curse enlivens the wearer when bloodletting occurs. Slightly raises attack power when there is blood loss nearby."
Tree Sentinel Helm,Golden helm of the heavy cavalry Tree Sentinels who serve the Erdtree.
Twinned Helm,Helm depicting entwined twins of gold and silver.
Vagabond Knight Helm,Helm of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey. 
Zamor Mask,"Mask worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial."
Astrologer Trousers,"Trousers worn inside a robe. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate. "
Bandit Boots,Leather boots worn by bandits.
Battlemage Legwraps,"Legwraps worn by the scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield."
Alberich's Trousers,Mad Tongue Alberich's trousers.
Aristocrat Boots,"Boots made from tanned leather. Travel attire worn by nobles in the capital. Abandoning their birthplace after the shattering, these undead wanderers are the pitiful product of unending life."
Banished Knight Greaves,"Thick, full set of armor covering the entire body. These greaves were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights. "
Blackflame Monk Greave,Black iron greaves featuring a flame motif.
Beast Champion Greaves,Silver greaves engraved with tiny beasts. Worn by Bernahl the Recusant.
Black Knife Greaves,"Greaves used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself."
Blaidd's Greaves,Well-worn black greaves of the man-wolf Blaidd.
Cleanrot Greaves,"Greaves of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering."
Blue Silver Mail Skirt,Chainmail skirt crafted with blue silver. Worn by the wolf-riding Albinauric archers. 
Briar Greaves,Battered iron greaves from a foreign land. Worn by Elemer of the Briar. 
Brave's Legwraps,Greaves wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.
Commoner's Shoes,"Modest shoes made of cloth. Standard wear for commoners of the Lands Between. Only, there are no commoners remaining with their wits about them."
Carian Knight Greaves,"Greaves of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all decorated heroes, were heroes of the highest honors, but fell into disarray with the decline of the royal family."
Cloth Trousers,"Trousers made of coarse material, commonly worn in the Lands Between. "
Chain Leggings,"Leggings made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, they offer dependable protection."
Bloodhound Knight Greaves,"Metal greaves of the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made the knight stays loyal for life."
Bull-goat Greaves,"Great Horned Tragoth's greaves. Covers its wearer with a pair of giant horns, providing staunch poise. "
Cuckoo Knight Greaves,Greaves worn by Raya Lucaria Academy knights. Time has yet to dull their luster.
Crucible Greaves,"Greaves of the Crucible Knights who served Godfrey, the first Elden Lord. Hold the power of the crucible of life, the primordial form of the Erdtree. Strengthen Aspects of the Crucible incantations. In time, the strength shown by these knights, and even their appearance, was seen as chaotic and deserving of scorn."
Confessor Boots,"Leather boots of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies."
Drake Knight Greaves,Greaves wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.
Consort's Trousers,"Fine white trousers, perfectly suited for wearing beneath a silk robe. "
Deathbed Smalls,"Skirt worn by Phia, the Deathbed Companion."
Eccentric's Breeches,"The knight Jerren's breeches. Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath."
Duelist Greaves,"Greaves encircles by bronze snakes. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered."
Elden Lord Greaves,"Greaves of Godfrey, the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded."
Depraved Perfumer Trousers,Trousers worn by depraved perfumers.
Errant Sorcerer Boots,"Commonplace leather boots, sturdy enough to withstand a long journey."
Fire Prelate Greaves,"Black iron greaves with the appearance of flames. Attire of the Fire Prelates, commanders of the Fire Monks."
Fur Leggings,"Leggings fashioned from bristly pelts. Worn by ancestral follower warriors. The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls. "
Fingerprint Greaves,"Iron greaves singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?"
Finger Maiden Shoes,"Shoes worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. The guidance of grace would ensure that the pair be brought together. Or at least, such was the promise long ago."
Exile Greaves,Damaged iron greaves. Worn by soldiers sent to the penal colonies.
Foot Soldier Greaves,Metal Graves that have already been mended countless times. Widely issued to foot soldiers in a lord's army.
Gelmir Knight Greaves,Greaves worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster.
Godrick Knight Greaves,Greaves worn by knights loyal to Godrick the Grafted. Time has yet to dull their luster.
Fire Monk Greaves,Black iron greaves featuring a flame motif. Attire of the Fire Monks.
Godrick Soldier Greaves,Greaves worn by soldiers loyal to Godrick the Grafted. Rust-worn and stained through unending conflict.
Gold Waistwrap,Waistwrap made in the image of Erdtree branches. A minimal adornment made by Lord Goldmask's disciples. Those disciples have long since left him.
Haligtree Knight Greaves,Greaves worn by knights sworn to the Haligtree. Time has yet to dull their luster.
Godskin Apostle Trousers,Trousers made by seweing together patches of smooth skin.
Hoslow's Greaves,Garish silver greaves decorated with red embellishments. Passed down through the Hoslow family.
Haligtree Greaves,Greaves worn by soldiers sworn to the Haligtree. Rust-worn and stained through unending conflict. 
Godskin Noble Trousers,"Trousers made by sewing together patches of smooth skin. Subcutaneous fat makes them plump and soft. Worn by Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form."
Guardian Greaves,Engraved golden greaves. Worn by the guardians of the Minor Erdtrees.
Kaiden Trousers,Trousers worn by Kaiden sellswords.
Knight Greaves,"Iron greaves of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation. "
Land Of Reeds Greaves,Greaves wrapped in tough leather.
Leather Boots,Lightweight and battle-proven leather boots worn by a savvy soldier. Many admire the wearer of this armor for his chivalrous and forthright spirit.
Leather Trousers,Well-made leather trousers. The lower legs are each bound in cord for ease of movement.
Leyndell Knight Greaves,Greaves worn by knights sworn to defend the royal capital of Leyndell. Time has yet to dull their luster.
Leyndell Soldier Greaves,Greaves worn by soldiers sworn to defend the royal capital of Leyndell. Rust-worn and stained through unending conflict. 
Lionel's Greaves,Rounded iron greaves. Worn by Lionel the Lionhearted. 
Malformed Dragon Greaves,Malformed golden greaves.
Malenia's Greaves,"Greaves made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god—he is the most fearsome Empyrean of all."""
Maliketh's Greaves,"Beast's greaves made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions."
Mausoleum Greaves,Greaves worn by headless soldiers who endlessly guard the Wandering Museum. Rust-worn and stained through unending conflict.
Mausoleum Knight Greaves,Greaves worn by headless knights who endlessly guard the Wandering Mausoleum. Time has yet to dull their luster.
Old Sorcerer Legwraps,Ragged waistcloth that extends to the thighs. Common amongst old-fashioned sorcerers.
Nox Monk Greaves,"Greaves worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Omenkiller Boots,"Long, stiff leather gloves worn by the Omenkillers."
Nomadic Merchant's Trousers,"Trousers of the nomadic merchants. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy."
Page Trousers,Trousers worn by pages who serve nobility and are mindful to keep them out of harm's way. 
Night's Cavalry Greaves,Pitch-black greaves thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds.
Mushroom Legs,"Mushrooms found growing all over the body. These overgrown mushroom have colonized the Legs.  To those enraptured by the scarlet rot, they are holy vestments that root one to the earth. "
Omen Greaves,Malformed greaves resembling an Omen with its horns cut off. 
Old Aristocrat Shoes,Hard-wearing shoes made of leather. Travel attire worn by nobles in the capital. Garb favored by the aged.
Noble's Trousers,"White trousers of superior craftsmanship. Worn by expatriated royalty. A gift of such rare beauty, a royal wouldn't disgrace their illustrious heritage even if found dead, in a ditch, in the middle of nowhere, while wearing such splendid raiment. "
Ragged Loincloth,Greaves pieced together from scavenged metal.
Perfumer Sarong,Sarong of an Erdtree Capital perfumer.
Preceptor's Trousers,Trousers of the magic preceptors who serve the Carian royals. Black and perfectly discreet. 
Prophet Trousers,"Trousers of the exiled prophets who foresaw that their faith would end in flames — and were persecuted and driven from their homes as a result. Its fabric scrapes against their skin like a file, and the rickety cart wheel around the neck warns passers-by not to lend an ear to their meandering sermons.  "
Queen's Leggings,"Leggings indicating the highest order of sorcerer. Worn by Rennala, Queen of the Full Moon. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all. "
Raya Lucarian Greaves,Greaves worn by Raya Lucaria Academy soldiers. Rust-worn and stained through unending conflict. 
Prisoner Trousers,"Tattered trousers. Worn by a prisoner convicted of an appalling crime. Never once washed, every fiber is filthy. The smell is beyond belief."
Redmane Knight Greaves,Black iron greaves worn by knights who fought by General Radahn's side. Time has yet to dull their luster.
Radahn's Greaves,Greaves depicting the golden lion. Worn by General Radahn. 
Radahn Soldier Greaves,Greaves worn by soldiers who fought by General Radahn's side. Rust-worn and stained through unending conflict.
Royal Knight Greaves,"Silver greaves of Loretta, a knight who served Miquella's Haligtree. Loretta, once a royal Carian knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation."
Ronin's Greaves,Greaves of the man who calls himself Shabriri. Highly functional and heavily worn.
Royal Remains Greaves,Greaves graced with gold human bones. Worn by the unspeaking adherent of Sir Gideon the All-Knowing.
Sage Trousers,Thick burgundy trousers. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.
Shaman Leggings,Leggings fashioned from bristly pelts. Worn by ancestral follower shamans.
Snow Witch Skirt,"Witch's skirt in the color of snow. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor."
Scaled Greaves,"Gauntlets worn by Old Knight Istvan. The corroded metal is reinforced with rock-hard scales, making it high effective against non-physical attacks. Istvan is one of a few wizened Tarnished who survived to this day."
Rotten Duelist Greaves,"Greaves wrapped with bronze snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. "
Spellblade's Trousers,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills."
Sorcerer Leggings,Leggings worn by Raya Lucaria's magic scholars. Made by wrapping a simple cloth around the legs.
Traveler's Slops,Slops of a traveling perfumer of no renown. 
Veteran's Greaves,"An old greaves that has seen many battles.Worn by Niall, the great veteran general of Sol."
Traveler's Boots,Light yet sturdy leather boots.
Traveling Maiden Boots,Boots worn by traveling maidens.
Twinned Greaves,Greaves depicting entwined twins of gold and silver. 
Tree Sentinel Greaves,Golden greaves of the heavy cavalry Tree Sentinels who serve the Erdtree.
War Surgeon Trousers,"Bloodstained trousers of the war surgeons who were effectively mercy killers. Of the surgeons that were abducted by the Lord of Blood none were able to tame the accursed blood. None but Varré, that is; though he was an exception"
Vulgar Militia Greaves,"Greaves worn by lean, mean, and filthy militiamen."
Warrior Greaves,Greaves of a nomadic warrior. Crafted from sturdy leather.
Vagabond Knight Greaves,Greaves of a knight banished from their motherland. Dirty and battered after enduring a lengthy vagabond journey.
White Reed Greaves,"Greaves of the White Reeds, fashioned from banded iron plates. Worn by the Inabam head disciples of the great swordsman Okina. The Inaba traveled in pursuit of not only the master who abandoned them, but also proper deaths, won honorably through hard-fought combat. To be a White Reed is to seek death; fitting for the Inaba, who desired nothingmore than to die by the sword."
Zamor Legwraps,"Legwraps worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial."
